ids,labels,parents
K,K,
LANDROVER,LANDROVER,K
TOYOTA,TOYOTA,K
MERCEDES,MERCEDES,K
SUZUKI,SUZUKI,K
BMW,BMW,K
NISSAN,NISSAN,K
MAZDA,MAZDA,K
AUDI,AUDI,K
DAIHATSU,DAIHATSU,K
HONDA,HONDA,K
MITSUBISHI,MITSUBISHI,K
LEXUS,LEXUS,K
SUBARU,SUBARU,K
VOLKSWAGEN,VOLKSWAGEN,K
VOLVO,VOLVO,K
Others,Others,K
DEFENDER,DEFENDER,LANDROVER
DISCOVERY,DISCOVERY,LANDROVER
RANGE ROVER,RANGE ROVER,LANDROVER
RANGE ROVER EVOQUE,RANGE ROVER EVOQUE,LANDROVER
RANGE ROVER  S/C,RANGE ROVER  S/C,LANDROVER
RANGE ROVER SPORT,RANGE ROVER SPORT,LANDROVER
RANGE ROVER  T/C,RANGE ROVER  T/C,LANDROVER
RANGE ROVER  S/C,RANGE ROVER  S/C,LANDROVER
DEFENDER T/C 3 DOOR 300PS X,DEFENDER T/C 3 DOOR 300PS X,DEFENDER
DEFENDER T/C 3 DOOR 300PS X-DYNAMIC HSE,DEFENDER T/C 3 DOOR 300PS X-DYNAMIC HSE,DEFENDER
DEFENDER T/C 5 DOOR  240PS X-DYNAMIC HSE,DEFENDER T/C 5 DOOR  240PS X-DYNAMIC HSE,DEFENDER
DEFENDER T/C 5 DOOR  240PS X-DYNAMIC SE,DEFENDER T/C 5 DOOR  240PS X-DYNAMIC SE,DEFENDER
DEFENDER T/C 5 DOOR  300PS X-DYNAMIC SE,DEFENDER T/C 5 DOOR  300PS X-DYNAMIC SE,DEFENDER
DEFENDER T/C 5 DOOR 300PS S,DEFENDER T/C 5 DOOR 300PS S,DEFENDER
DEFENDER T/C 5 DOOR 300PS X,DEFENDER T/C 5 DOOR 300PS X,DEFENDER
DEFENDER T/C 5 DOOR 300PS X-DYNAMIC HSE,DEFENDER T/C 5 DOOR 300PS X-DYNAMIC HSE,DEFENDER
DEFENDER T/C 5 DOOR 300PS X-DYNAMIC S,DEFENDER T/C 5 DOOR 300PS X-DYNAMIC S,DEFENDER
DEFENDER T/C MHEV 5 DOOR  400PS X-DYNAMIC SE,DEFENDER T/C MHEV 5 DOOR  400PS X-DYNAMIC SE,DEFENDER
DEFENDER T/C MHEV 5 DOOR 400PS XS EDITION,DEFENDER T/C MHEV 5 DOOR 400PS XS EDITION,DEFENDER
DEFENDER T/C PHEV 5 DOOR  404PS X,DEFENDER T/C PHEV 5 DOOR  404PS X,DEFENDER
DEFENDER 110,DEFENDER 111,DEFENDER
DEFENDER 110  HSE,DEFENDER 110  HSE,DEFENDER
DEFENDER 110 FIRST EDITION ,DEFENDER 110 FIRST EDITION ,DEFENDER
DEFENDER 110 S,DEFENDER 110 S,DEFENDER
DEFENDER 110 SE,DEFENDER 110 SE,DEFENDER
DEFENDER 110 X,DEFENDER 110 X,DEFENDER
DEFENDER 110 X-DYNAMIC  HSE,DEFENDER 110 X-DYNAMIC  HSE,DEFENDER
DEFENDER 110 X-DYNAMIC  SE,DEFENDER 110 X-DYNAMIC  SE,DEFENDER
DEFENDER 90 ,DEFENDER 91,DEFENDER
DEFENDER 90 S,DEFENDER 90 S,DEFENDER
DEFENDER 90 X,DEFENDER 90 X,DEFENDER
DEFENDER 90 X-DYNAMIC S,DEFENDER 90 X-DYNAMIC S,DEFENDER
DEFENDER T/C 400PS  5 DOOR VOGUE SE,DEFENDER T/C 400PS  5 DOOR VOGUE SE,DEFENDER
DISCOVERY  T/C  5 DOOR 300PS R-DYNAMIC HSE,DISCOVERY  T/C  5 DOOR 300PS R-DYNAMIC HSE,DISCOVERY
